TF	accession	% target	% background	method
EP400	ENCSR817QKV			method1
NCOA1	ENCSR658WFQ			method1
ZBTB40	ENCSR237VLT			method1
SMARCE1	ENCSR157TCS			method1
AFF1	ENCSR241LIH			method1
ZNF184	ENCSR546IHU			method1
E2F8	ENCSR953DVM	18.51	13.90	method1
NR2C1	ENCSR742IDN	2.81	1.99	method1
PRDM10	ENCSR120MPG			method1
MNT	ENCSR512NLO	20.33	16.67	method1
NUFIP1	ENCSR574XEO			method1
TRIM24	ENCSR907MZR			method1
TCF12	ENCSR189TRZ			method1
LEF1	ENCSR343ELW			method1
ZNF24	ENCSR695EQB			method1
MCM3	ENCSR990AZC			method1
NONO	ENCSR886RYH			method1
TRIM24	ENCSR957LDM			method1
SNIP1	ENCSR654CQU			method1
EHMT2	ENCSR175EOM			method1
HDAC1	ENCSR711VWL			method1
NFATC3	ENCSR051OUX	38.39	34.71	method1
MCM5	ENCSR628APV			method1
ZBTB5	ENCSR389PWB			method1
ZBTB33	ENCSR876GXA	5.63	4.42	method1
EGR1	ENCSR211LTF	33.51	26.94	method1
ZNF639	ENCSR497VFH			method1
EGR1	ENCSR024CNP	34.01	26.58	method1
NR2C1	ENCSR178DEG	2.25	1.95	method1
HDAC2	ENCSR893WSB			method1
MTA3	ENCSR914NEI			method1
ZNF592	ENCSR249BHQ			method1
HES1	ENCSR091JXL	31.31	26.85	method1
HDGF	ENCSR197ALX			method1
DPF2	ENCSR219BXP			method1
NCOR1	ENCSR298JCG			method1
ZBTB2	ENCSR230PTV	8.34	5.66	method1
L3MBTL2	ENCSR530XQI			method1
CTBP1	ENCSR201NQZ			method1
SKIL	ENCSR336DXE			method1
SMARCA5	ENCSR895HSJ			method1
ATF3	ENCSR028UIU	7.22	3.86	method1
NCOR1	ENCSR910JAI			method1
NFIC	ENCSR796ITY			method1
ARID1B	ENCSR822CCM			method1
HDAC2	ENCSR075HTM			method1
BRD9	ENCSR177XCS			method1
CTCF	GSE137216	40.75	38.96	method1
CTCF	ENCSR000AKO	41.21	39.63	method1
CTCF	GSE70764	49.66	46.84	method1
CTCFL	GSE70764	56.42	52.26	method1
CTCF	ENCSR000BPJ	40.61	39.12	method1
CTCF	ENCSR000DMA	40.78	39.31	method1
SETDB1	ENCSR000EWI			method1
RAD21	ENCSR000BKV			method1
E2F6	ENCSR000EWJ	64.26	60.74	method1
MYC	ENCSR000EGJ	3.80	3.63	method1
E2F6	ENCSR000BLI	64.59	60.21	method1
RBFOX2	ENCSR822LBD			method1
RBFOX2	GSE120104			method1
TARDBP	GSE120104			method1
PCBP2	GSE120104			method1
TAF15	GSE120104			method1
PRPF4	GSE120104			method1
SNRNP70	GSE120104			method1
