gene	n_genes
AFF1	6016
AGO1	7022
ARHGAP35	792
ARID1B	6264
ARID2	1150
ARID3A	3051
ARID3B	677
ARNT	106
ASH1L	2214
ATF1	3835
ATF2	2363
ATF3	1765
ATF4	188
ATF7	1423
ATRX	8
BACH1	213
BCL6	31
BCLAF1	2420
BCOR	9080
BDP1	71
BHLHE40	1502
BMI1	1944
BRCA1	119
BRD2	13993
BRD3	14488
BRD4	16586
BRD9	3941
CBFA2T2	2340
CBFA2T3	4326
CBX1	9192
CBX2	4641
CBX3	45
CBX5	1520
CBX8	2453
CC2D1A	3342
CCAR2	393
CCNT2	8167
CDC5L	195
CDK8	1566
CEBPB	2415
CEBPD	1753
CEBPG	1353
CHD1	4996
CHD2	8137
CHD4	190
CHD7	635
CLOCK	82
CREB1	1793
CREB3	462
CREB3L1	977
CREBBP	99
CREM	2646
CTBP1	13416
CTCF	13711
CTCFL	10218
CUX1	252
DACH1	1610
DDX20	3189
DEAF1	1289
DIDO1	4892
DLX4	16
DPF1	230
DPF2	6151
E2F1	1388
E2F3	79
E2F4	95
E2F5	237
E2F6	12234
E2F7	32
E2F8	2353
E4F1	210
EGR1	7177
EHMT2	3181
ELF1	7281
ELF4	2869
ELK1	2373
EP300	7612
EP400	7489
EPAS1	15
ERG	5244
ESRRA	4035
ESRRB	45
ETS1	470
ETV1	2723
ETV6	704
EZH2	990
FIP1L1	7260
FOS	489
FOSL1	588
FOXA1	7
FOXJ2	110
FOXK2	7694
FOXM1	173
FOXO3	115
FUS	2695
GABPA	7223
GABPB1	9724
GATA1	1561
GATA2	1404
GATAD2A	1170
GFI1B	1942
GTF2A2	797
GTF2F1	12400
GTF3C2	1443
HCFC1	10543
HDAC1	15271
HDAC2	14917
HDAC3	573
HDAC6	385
HDAC8	7194
HDGF	9538
HES1	840
HIF1A	507
HINFP	10
HIVEP1	306
HMGN3	9019
HNRNPC	214
HNRNPK	5065
HNRNPL	11106
HNRNPLL	12379
HNRNPUL1	983
HOMEZ	1
HOXB8	796
ID3	8700
IKZF1	6481
