gene	n_genes
AFF1	16952
AGO1	13767
ARHGAP35	4455
ARID1B	25794
ARID2	8117
ARID3A	13391
ARID3B	1973
ARNT	17281
ASH1L	5133
ATF1	24855
ATF2	26612
ATF3	33326
ATF4	27131
ATF7	25969
ATRX	110
BACH1	3568
BCL6	1628
BCLAF1	7422
BCOR	25156
BDP1	236
BHLHE40	21449
BMI1	6991
BRCA1	5364
BRD2	30152
BRD3	29017
BRD4	33734
BRD9	11893
CBFA2T2	15922
CBFA2T3	23833
CBX1	19668
CBX2	13873
CBX3	253
CBX5	7837
CBX8	12421
CC2D1A	13782
CCAR2	1471
CCNT2	16374
CDC5L	3980
CDK8	2473
CEBPB	32718
CEBPD	18579
CEBPG	26394
CHD1	10056
CHD2	14860
CHD4	788
CHD7	1815
CLOCK	527
CREB1	17800
CREB3	8196
CREB3L1	13491
CREBBP	2121
CREM	29213
CTBP1	28896
CTCF	42759
CTCFL	25995
CUX1	3865
DACH1	10842
DDX20	9498
DEAF1	2388
DIDO1	11192
DLX4	80
DPF1	6100
DPF2	20072
E2F1	19371
E2F3	9934
E2F4	21178
E2F5	3477
E2F6	26174
E2F7	974
E2F8	14394
E4F1	22140
EGR1	25780
EHMT2	17835
ELF1	26439
ELF4	14045
ELK1	7507
EP300	20733
EP400	14821
EPAS1	541
ERG	21593
ESRRA	19042
ESRRB	396
ETS1	17630
ETV1	10430
ETV6	3782
EZH2	2121
FIP1L1	12138
FOS	17015
FOSL1	13943
FOXA1	272
FOXJ2	1503
FOXK2	19372
FOXM1	12215
FOXO3	2235
FUS	5007
GABPA	23870
GABPB1	20871
GATA1	34091
GATA2	23209
GATAD2A	3869
GFI1B	28749
GMEB1	17857
GTF2A2	2089
GTF2F1	20902
GTF3C2	5338
HCFC1	18718
HDAC1	31211
HDAC2	32605
HDAC3	4151
HDAC6	794
HDAC8	16915
HDGF	23759
HES1	6822
HIF1A	6346
HINFP	2997
HIVEP1	2444
HMGN3	16438
HNRNPC	527
HNRNPK	16930
HNRNPL	20655
HNRNPLL	24334
HNRNPUL1	4427
HOMEZ	1009
HOXB8	7941
ID3	22410
IKZF1	26290
ILF3	27681
ILK	2001
IRF1	23623
IRF2	16911
IRF9	5551
JUN	25136
JUNB	21534
JUND	29993
KAT2B	1097
KAT8	657
KDM1A	29835
KDM4B	16605
KDM5B	15884
KLF1	9583
KLF10	221
KLF13	12701
KLF16	14814
KLF6	9198
L3MBTL2	26914
LDB1	12232
LEF1	13406
MAFF	18455
MAFG	26250
MAFK	16204
MAX	29435
MAZ	27959
MBD2	15207
MCM2	803
MCM3	11207
MCM5	3776
MCM7	1155
MED1	3291
MEF2A	3755
MEF2D	5940
MEIS2	26888
MGA	14285
MIER1	12130
MITF	22838
MLLT1	23231
MNT	22452
MORC2	1370
MTA1	15041
MTA2	20858
MTA3	26476
MXI1	9946
MYB	44170
MYC	25764
MYNN	19564
NBN	19335
NCOA1	17546
NCOA4	1776
NCOR1	19094
NELFA	16519
NELFE	30844
NEUROD1	23415
NFATC3	11384
NFE2	27357
NFE2L2	26707
NFIA	16299
NFIC	27001
NFIX	4552
NFRKB	13278
NFXL1	4346
NFYA	20621
NFYB	17157
NONO	15243
NR2C1	14468
NR2C2	13354
NR2F1	23476
NR2F2	25358
NR2F6	18393
NR3C1	14712
NR4A1	6805
NRF1	20877
NSD2	3337
NUFIP1	283
PATZ1	1475
PAX8	2094
PBX2	18828
PCBP1	15965
PCBP2	4170
PHB2	5150
PHF20	9510
PHF21A	2966
PHF8	15975
PKNOX1	26484
PLAG1	26504
PML	20409
PRDM10	17586
PRMT5	892
PRPF4	8431
PTBP1	12980
PTRF	2974
PTTG1	3028
RAD21	33403
RAD51	12626
RB1	20663
RBBP5	16097
RBFOX2	21581
RBM14	7210
RBM15	108
RBM22	18964
RBM25	28594
RBM39	18675
RCOR1	10898
RELA	8037
REST	33961
RFX1	16776
RFX5	2319
RLF	4066
RNF2	25698
RREB1	7691
RUNX1	11699
SAFB	6871
SAFB2	562
SAP30	12318
SETDB1	15382
SHOX2	8331
SIN3A	15759
SIN3B	8824
SIRT6	7150
SIX5	3335
SKIL	15239
SMAD1	16024
SMAD2	381
SMAD5	16839
SMARCA4	30801
SMARCA5	16304
SMARCB1	2439
SMARCC2	10648
SMARCE1	24670
SMC3	22555
SNIP1	1988
SNRNP70	3575
SOX6	23078
SP1	10589
SP2	5300
SPI1	35208
SREBF1	10237
SRF	17186
SRSF1	2511
SRSF3	18450
SRSF4	1992
SRSF7	211
SRSF9	106
STAG1	9586
STAT1	3024
STAT2	3172
STAT5A	11013
SUZ12	7287
TAF1	18425
TAF15	5841
TAF7	10228
TAF9B	6432
TAL1	18198
TARDBP	22946
TBL1XR1	14117
TBP	25981
TBX18	6213
TCF12	17921
TCF3	19913
TCF7	6884
TCFL5	1728
TEAD1	5523
TEAD2	1381
TFDP1	13104
THAP1	18824
THRA	806
THRAP3	3326
TOP2A	914
TP53	4190
TRIM24	23228
TRIM28	19799
TRIP13	1199
TSC22D4	172
TSHZ1	1961
U2AF1	7160
UBTF	19713
USF1	23779
USF2	17381
VEZF1	16686
WDR5	4958
XRCC5	29556
YBX1	1387
YBX3	1832
YY1	31829
ZBED1	10807
ZBTB11	11702
ZBTB12	8794
ZBTB2	16222
ZBTB33	24960
ZBTB40	26515
ZBTB5	6322
ZBTB7A	28691
ZC3H11A	2738
ZEB2	20175
ZFP36	27345
ZFX	14880
ZHX1	10345
ZKSCAN1	23873
ZMIZ1	14219
ZMYM3	22919
ZNF12	10203
ZNF133	251
ZNF134	5407
ZNF143	27702
ZNF148	17220
ZNF165	2712
ZNF174	263
ZNF175	7286
ZNF18	9260
ZNF184	14347
ZNF215	6323
ZNF23	1946
ZNF239	9025
ZNF24	27819
ZNF257	4096
ZNF263	26071
ZNF274	2690
ZNF281	13637
ZNF282	7503
ZNF3	22121
ZNF311	5579
ZNF316	15416
ZNF318	6231
ZNF324	3289
ZNF354B	1631
ZNF384	20286
ZNF395	3477
ZNF397	1948
ZNF407	3900
ZNF408	188
ZNF41	4966
ZNF410	4903
ZNF436	1061
ZNF444	3276
ZNF507	7433
ZNF512	10218
ZNF589	5415
ZNF592	15550
ZNF639	18357
ZNF644	5254
ZNF696	532
ZNF740	4203
ZNF75A	3965
ZNF76	5132
ZNF764	4424
ZNF77	255
ZNF79	4156
ZNF83	2897
ZNF830	3204
ZSCAN29	10123
ZZZ3	4348
