V1	N	db
ADA2	940	GTRD
ADCYAP1	12	GTRD
ADNP	657	GTRD
AEBP2	1224	GTRD
AHRR	1404	GTRD
ALKBH3	442	GTRD
ALX4	33	GTRD
ARHGAP35	120	GTRD
ARID3B	196	GTRD
ARID5B	943	GTRD
ARNT2	679	GTRD
ASH1L	1464	GTRD
ASXL2	56	GTRD
ATF5	464	GTRD
ATF6	1080	GTRD
ATM	15	GTRD
ATOH8	51	GTRD
ATXN7L3	692	GTRD
AUTS2	647	GTRD
BAHD1	40	GTRD
BANP	763	GTRD
BARHL1	1300	GTRD
BARX1	1285	GTRD
BARX2	1902	GTRD
BCL6B	171	GTRD
BDP1	1443	GTRD
BPTF	1260	GTRD
BRCA2	1674	GTRD
BRF1	65	GTRD
BRF2	20	GTRD
CARM1	13	GTRD
CASP3	15	GTRD
CASP8AP2	344	GTRD
CAVIN1	92	GTRD
CBX5	883	GTRD
CBX7	971	GTRD
CC2D1A	1608	GTRD
CDC5L	339	GTRD
CDC73	658	GTRD
CDH4	85	GTRD
CDX1	42	GTRD
CEBPE	35	GTRD
CEBPZ	1543	GTRD
CENPT	85	GTRD
CHAF1A	98	GTRD
CHAF1B	997	GTRD
CHAMP1	213	GTRD
CIC	505	GTRD
CIITA	1234	GTRD
COBLL1	150	GTRD
COIL	8	GTRD
CREB3	515	GTRD
CREB3L2	151	GTRD
CREB3L4	1441	GTRD
CREBL2	11	GTRD
CSHL1	248	GTRD
CTR9	68	GTRD
CUX1	905	GTRD
DACH1	1003	GTRD
DBP	1475	GTRD
DICER1	91	GTRD
DIDO1	1642	GTRD
DLX2	291	GTRD
DLX4	864	GTRD
DLX6	606	GTRD
DMRT1	418	GTRD
DNMT1	234	GTRD
DNMT3A	712	GTRD
DPPA3	25	GTRD
DROSHA	69	GTRD
DYRK1A	782	GTRD
E2F2	1496	GTRD
E2F5	1289	GTRD
EBNA1BP2	382	GTRD
EGFR	36	GTRD
ELF2	1511	GTRD
ELF5	485	GTRD
EMX1	231	GTRD
EPC1	393	GTRD
ERCC8	16	GTRD
EWSR1	1039	GTRD
F10	287	GTRD
F2RL1	6	GTRD
FEV	1690	GTRD
FOXC1	87	GTRD
FOXD2	1275	GTRD
FOXD3	36	GTRD
FOXE1	733	GTRD
FOXF1	8	GTRD
FOXF2	12	GTRD
FOXG1	598	GTRD
FOXJ2	603	GTRD
FOXN3	1526	GTRD
FOXO4	387	GTRD
FOXQ1	39	GTRD
FOXR2	233	GTRD
FXR1	1217	GTRD
GLI1	622	GTRD
GLI3	754	GTRD
GLI4	855	GTRD
GREB1	959	GTRD
GTF2A2	599	GTRD
GTF2E2	416	GTRD
GTF3A	77	GTRD
GTF3C1	9	GTRD
GUCY1B1	693	GTRD
H1	532	GTRD
HAND1	491	GTRD
HBZ	1251	GTRD
HDAC4	690	GTRD
HDAC8	170	GTRD
HDGF	928	GTRD
HES2	1453	GTRD
HES4	604	GTRD
HEY2	75	GTRD
HHEX	1048	GTRD
HJURP	64	GTRD
HMCES	22	GTRD
HMG20B	1955	GTRD
HMGA1	1254	GTRD
HMGB2	580	GTRD
HOXA1	1228	GTRD
HOXA10	277	GTRD
HOXA13	56	GTRD
HOXA7	116	GTRD
HOXB4	1193	GTRD
HOXB6	648	GTRD
HOXB7	28	GTRD
HOXC11	67	GTRD
HOXC13	121	GTRD
HOXC6	1216	GTRD
HOXD1	78	GTRD
HOXD11	152	GTRD
HSD17B8	667	GTRD
HSF2	248	GTRD
HSF4	22	GTRD
ID1	1282	GTRD
ID2	1104	GTRD
IGF1R	5	GTRD
IGLV5	647	GTRD
ILK	26	GTRD
INSM2	977	GTRD
IRF5	848	GTRD
IRX2	237	GTRD
IRX3	55	GTRD
KAT2A	1166	GTRD
KAT5	927	GTRD
KDM1B	163	GTRD
KLF14	257	GTRD
KLF7	937	GTRD
KMT2D	809	GTRD
LAMB3	18	GTRD
LAMTOR5	8	GTRD
LCORL	464	GTRD
LHX2	1428	GTRD
LHX3	37	GTRD
LHX4	8	GTRD
LHX9	1602	GTRD
LMNB2	37	GTRD
LMTK3	597	GTRD
LMX1B	31	GTRD
MAFG	1950	GTRD
MAML1	322	GTRD
MAP2K1	9	GTRD
MAPK3	108	GTRD
MCM2	88	GTRD
MCM3	225	GTRD
MCM5	8	GTRD
MCRS1	42	GTRD
MDM2	13	GTRD
MED16	47	GTRD
MED25	142	GTRD
MEF2C	1879	GTRD
MEF2D	659	GTRD
METHYLCYTOSINE	180	GTRD
METTL14	157	GTRD
MIER1	375	GTRD
MNX1	11	GTRD
MPHOSPH8	10	GTRD
MSX1	203	GTRD
MSX2	20	GTRD
MTHFD1	22	GTRD
MXD1	650	GTRD
MYBL1	483	GTRD
MYF6	17	GTRD
MYOCD	1550	GTRD
MZF1	1759	GTRD
NAB2	1539	GTRD
NCOA2	544	GTRD
NCOA4	1100	GTRD
NCOA6	362	GTRD
NEUROD2	7	GTRD
NEUROG3	24	GTRD
NFE2L1	1913	GTRD
NFE2L3	18	GTRD
NFKBIA	1335	GTRD
NFXL1	473	GTRD
NKX2	3531	GTRD
NKX6	33	GTRD
NME2	70	GTRD
NOTCH3	1580	GTRD
NPAT	280	GTRD
NPM1	362	GTRD
NR0B1	378	GTRD
NR1D1	121	GTRD
NR1H4	428	GTRD
NR1I2	345	GTRD
NR2E3	10	GTRD
NR4A2	5	GTRD
NR5A1	19	GTRD
NUFIP1	46	GTRD
NUP214	11	GTRD
OVOL3	514	GTRD
PAF1	76	GTRD
PAX3	1838	GTRD
PAX6	961	GTRD
PAX7	719	GTRD
PAX8	89	GTRD
PBRM1	8	GTRD
PBXIP1	282	GTRD
PCGF1	554	GTRD
PCGF6	77	GTRD
PER1	33	GTRD
PGBD5	22	GTRD
PGM3	268	GTRD
PHB2	204	GTRD
PHF21A	288	GTRD
PIAS4	78	GTRD
PITX1	352	GTRD
POU2AF1	936	GTRD
PPARA	69	GTRD
PPARGC1A	102	GTRD
PRDM12	156	GTRD
PRDM4	617	GTRD
PRDM5	123	GTRD
PRKDC	887	GTRD
PRMT5	102	GTRD
PSIP1	767	GTRD
PSMB5	309	GTRD
PTPRA	130	GTRD
PTTG1	83	GTRD
RAG1	1206	GTRD
RARB	7	GTRD
RAX2	72	GTRD
