tf	fraction
AFF1	0.573333333333333
ARID2	0.149006622516556
ATF2	0.225464190981432
ATF3	0.51159793814433
ATF4	0.485
CBX2	0.224451410658307
CEBPG	0.311827956989247
CHD1	0.651022171033688
CREB1	0.680863210778717
CREM	0.814344174025415
CTCF	0.688197911938266
E2F1	0.595770816881636
E2F3	0.426356589147287
E2F4	0.825405707890319
E2F6	0.749090909090909
EGR1	0.632031767041694
ELF4	0.586377097729516
ELK1	0.439509954058193
EPAS1	0.0528169014084507
ERG	0.699602324869991
ESRRA	0.53905325443787
ETS1	0.707646732086651
EZH2	0.139442231075697
FOSL1	0.340872374798061
FOXA1	0.00487362575087839
FOXM1	0.417891097666379
GATA1	0.448011027963765
GATA2	0.364902506963788
GFI1B	0.796610169491525
HIF1A	0.320906432748538
IKZF1	0.478991596638655
IRF1	0.722857142857143
JUN	0.672225210686749
JUNB	0.5325
JUND	0.710671067106711
KLF1	0.434240362811791
KLF13	0.464406779661017
LEF1	0.234042553191489
MBD2	0.745
MEF2A	0.0671487603305785
MEF2D	0.0925266903914591
MEIS2	0.631901840490798
MITF	0.360165118679051
MYB	0.778219013237064
MYC	0.827704045140269
NEUROD1	0.708128078817734
NFATC3	0.346590909090909
NFE2L2	0.651428571428571
NFIA	0.171220400728597
NFXL1	0.073394495412844
NFYA	0.781666666666667
NR2C2	0.425092250922509
NR2F2	0.678675754625122
NR3C1	0.304635761589404
NRF1	0.713414634146341
PHF20	0.475609756097561
RELA	0.195132551064754
REST	0.629765732659623
RUNX1	0.365750904883404
SETDB1	0.438939144736842
SP1	0.593220338983051
SPI1	0.612519399896534
SRF	0.644530803520402
STAT1	0.115902964959569
SUZ12	0.0284819564569043
TAL1	0.322554169402495
TCF12	0.183953033268102
TCF3	0.381453634085213
TCF7	0.263035381750466
TP53	0.0951980960380792
U2AF1	0.364737041241014
USF1	0.400690846286701
YY1	0.858974358974359
ZEB2	0.395021645021645
ZFX	0.747358750574185
ZNF143	0.556666666666667
ZNF148	0.468120805369128
ZNF589	0.0946393117140966
