gene	n_tfs
ENSG00000188976	79
ENSG00000131591	79
ENSG00000242485	124
ENSG00000272106	62
ENSG00000272161	35
ENSG00000157881	83
ENSG00000116213	116
ENSG00000169598	88
ENSG00000284668	85
ENSG00000116273	125
ENSG00000236266	73
ENSG00000270330	111
ENSG00000074800	101
ENSG00000171621	159
ENSG00000271989	136
ENSG00000160049	113
ENSG00000142655	69
ENSG00000177000	112
ENSG00000285646	53
ENSG00000199347	19
ENSG00000201801	149
ENSG00000116688	71
ENSG00000120949	111
ENSG00000162496	91
ENSG00000272482	97
ENSG00000157330	77
ENSG00000204464	55
ENSG00000179743	128
ENSG00000037637	57
ENSG00000272426	129
ENSG00000159363	91
ENSG00000179051	102
ENSG00000127463	105
ENSG00000053372	122
ENSG00000162543	126
ENSG00000158828	140
ENSG00000284005	95
ENSG00000090686	56
ENSG00000228397	126
ENSG00000184677	134
ENSG00000249087	75
ENSG00000117318	75
ENSG00000142676	93
ENSG00000117305	134
ENSG00000189266	119
ENSG00000169504	54
ENSG00000127423	105
ENSG00000236528	115
ENSG00000117632	124
ENSG00000283938	110
ENSG00000158006	117
ENSG00000175087	69
ENSG00000169442	97
ENSG00000260063	112
ENSG00000198746	66
ENSG00000090020	16
ENSG00000224311	68
ENSG00000181773	70
ENSG00000237429	68
ENSG00000126705	91
ENSG00000130770	132
ENSG00000130766	128
ENSG00000130772	97
ENSG00000200087	130
ENSG00000197989	105
ENSG00000120656	115
ENSG00000229388	99
ENSG00000270103	49
ENSG00000274978	50
ENSG00000198492	39
ENSG00000266210	56
ENSG00000134644	106
ENSG00000121766	81
ENSG00000025800	116
ENSG00000160050	123
ENSG00000160058	61
ENSG00000176261	168
ENSG00000224409	141
ENSG00000134684	128
ENSG00000217644	143
ENSG00000121903	137
ENSG00000271741	66
ENSG00000163867	78
ENSG00000197056	103
ENSG00000054116	61
ENSG00000196182	135
ENSG00000181817	145
ENSG00000116898	117
ENSG00000116922	148
ENSG00000134690	109
ENSG00000183520	87
ENSG00000168653	130
ENSG00000117000	122
ENSG00000084070	85
ENSG00000187801	140
ENSG00000238287	73
ENSG00000164002	39
ENSG00000117010	119
ENSG00000117016	83
ENSG00000066136	73
ENSG00000228192	54
ENSG00000164011	87
ENSG00000234694	34
ENSG00000066135	87
ENSG00000284989	21
ENSG00000117408	14
ENSG00000132768	75
ENSG00000285649	55
ENSG00000199377	109
ENSG00000200169	100
ENSG00000142937	73
ENSG00000188396	112
ENSG00000202444	127
ENSG00000281912	113
ENSG00000132773	115
ENSG00000280670	87
ENSG00000132763	76
ENSG00000117448	87
ENSG00000159596	101
ENSG00000132128	125
ENSG00000173660	131
ENSG00000117481	131
ENSG00000162367	166
ENSG00000123473	151
ENSG00000162368	90
ENSG00000185104	83
ENSG00000123080	106
ENSG00000227070	108
ENSG00000117862	106
ENSG00000085840	132
ENSG00000162377	130
ENSG00000162378	123
ENSG00000259818	87
ENSG00000058804	82
ENSG00000116209	58
ENSG00000116205	163
ENSG00000231090	136
ENSG00000162600	129
ENSG00000173406	129
ENSG00000177606	55
ENSG00000232453	103
ENSG00000237853	12
ENSG00000142864	118
ENSG00000116717	98
ENSG00000234264	72
ENSG00000228988	117
ENSG00000116761	90
ENSG00000162623	59
ENSG00000230863	52
ENSG00000206620	65
ENSG00000207241	131
ENSG00000036549	102
ENSG00000162613	74
ENSG00000273338	99
ENSG00000162616	76
ENSG00000171492	101
ENSG00000189195	60
ENSG00000117500	81
ENSG00000223745	42
ENSG00000117505	104
ENSG00000137936	87
ENSG00000156875	100
ENSG00000156876	69
ENSG00000122435	104
ENSG00000137992	68
ENSG00000224616	45
ENSG00000233184	94
ENSG00000225938	40
ENSG00000185946	64
ENSG00000198890	134
ENSG00000162636	95
ENSG00000134186	83
ENSG00000116266	77
ENSG00000270066	123
ENSG00000278249	106
ENSG00000162650	119
ENSG00000174151	127
ENSG00000065135	43
ENSG00000261055	115
ENSG00000273010	36
ENSG00000121931	91
ENSG00000064703	112
ENSG00000116489	113
ENSG00000155380	90
ENSG00000231128	59
ENSG00000197323	77
ENSG00000265808	127
ENSG00000252826	98
ENSG00000278099	127
ENSG00000280778	80
ENSG00000265241	82
ENSG00000168509	123
ENSG00000201558	97
ENSG00000230832	87
ENSG00000162836	126
ENSG00000199879	119
ENSG00000283676	19
ENSG00000202408	41
ENSG00000184678	86
ENSG00000184260	104
ENSG00000184270	126
ENSG00000178096	121
ENSG00000285184	147
ENSG00000136631	54
ENSG00000143401	33
ENSG00000117362	96
ENSG00000117360	76
ENSG00000274963	60
ENSG00000143384	66
ENSG00000143379	139
ENSG00000143409	114
ENSG00000143363	116
ENSG00000213190	103
ENSG00000143458	106
ENSG00000163155	64
ENSG00000163156	166
ENSG00000159352	118
ENSG00000143376	54
ENSG00000159409	5
ENSG00000271853	136
ENSG00000143553	66
ENSG00000160741	97
ENSG00000143543	71
ENSG00000272654	111
ENSG00000285641	38
ENSG00000264349	37
ENSG00000179085	79
ENSG00000185499	127
ENSG00000160767	101
ENSG00000116521	37
ENSG00000176444	139
ENSG00000160752	137
ENSG00000116539	149
ENSG00000203761	92
ENSG00000173080	101
ENSG00000163479	117
ENSG00000160803	55
ENSG00000116586	103
ENSG00000254726	112
ENSG00000163467	95
ENSG00000183856	95
ENSG00000229953	54
ENSG00000143314	113
ENSG00000271736	105
ENSG00000158710	70
ENSG00000162755	89
ENSG00000283696	85
ENSG00000162746	102
ENSG00000226889	60
ENSG00000118217	67
ENSG00000232995	84
ENSG00000143248	62
ENSG00000241666	57
ENSG00000143155	65
ENSG00000213064	88
ENSG00000188404	135
ENSG00000171806	142
ENSG00000076321	101
ENSG00000117593	94
ENSG00000234741	45
ENSG00000185278	85
ENSG00000224977	83
ENSG00000224687	101
ENSG00000169905	72
ENSG00000272906	109
ENSG00000143337	96
ENSG00000260360	112
ENSG00000162783	127
ENSG00000198756	108
ENSG00000135842	128
ENSG00000121486	102
ENSG00000116668	137
ENSG00000157181	63
ENSG00000223344	106
ENSG00000116750	105
ENSG00000066279	97
ENSG00000118197	90
ENSG00000163431	22
ENSG00000143851	16
ENSG00000260021	122
ENSG00000234761	111
ENSG00000231547	92
ENSG00000233791	90
ENSG00000058668	58
ENSG00000257315	97
ENSG00000182004	56
ENSG00000158615	60
ENSG00000252650	60
ENSG00000133059	78
ENSG00000069275	66
ENSG00000117280	64
ENSG00000285521	112
ENSG00000180667	119
ENSG00000244703	44
ENSG00000227591	80
ENSG00000123689	84
ENSG00000117595	71
ENSG00000200972	68
ENSG00000229258	81
ENSG00000162772	50
ENSG00000136643	129
ENSG00000136636	96
ENSG00000136628	2
ENSG00000118873	74
ENSG00000143771	96
ENSG00000143819	73
ENSG00000143751	47
ENSG00000272562	89
ENSG00000163041	93
ENSG00000183814	88
ENSG00000143776	108
ENSG00000280157	81
ENSG00000279306	47
ENSG00000143643	40
ENSG00000173409	110
ENSG00000182118	86
ENSG00000233461	127
ENSG00000168275	83
ENSG00000231663	113
ENSG00000237520	96
ENSG00000054267	71
ENSG00000152904	83
ENSG00000285053	57
ENSG00000162885	107
ENSG00000116984	141
ENSG00000091483	63
ENSG00000143702	67
ENSG00000035687	105
ENSG00000121644	38
ENSG00000203667	52
ENSG00000272195	73
ENSG00000067082	42
ENSG00000173848	88
ENSG00000272764	96
ENSG00000271360	35
ENSG00000225778	121
ENSG00000086475	92
ENSG00000187522	155
ENSG00000284024	75
ENSG00000197889	113
ENSG00000107614	111
ENSG00000148488	68
ENSG00000165996	112
ENSG00000260589	115
ENSG00000136738	71
ENSG00000168283	47
ENSG00000272366	118
ENSG00000077327	96
ENSG00000228667	78
ENSG00000273107	86
ENSG00000136754	58
ENSG00000136758	93
ENSG00000107897	79
ENSG00000271220	109
ENSG00000228800	66
ENSG00000229656	36
ENSG00000271335	26
ENSG00000175395	116
ENSG00000226447	57
ENSG00000189180	97
ENSG00000283930	85
ENSG00000234420	86
ENSG00000196693	75
ENSG00000165733	73
ENSG00000169813	121
ENSG00000221400	116
ENSG00000196793	81
ENSG00000232004	84
ENSG00000198298	110
ENSG00000169740	72
ENSG00000236208	104
ENSG00000151151	110
ENSG00000072401	62
ENSG00000108064	61
ENSG00000170312	79
ENSG00000150347	89
ENSG00000181915	89
ENSG00000108176	4
ENSG00000272892	70
ENSG00000108187	96
ENSG00000138336	130
ENSG00000156502	55
ENSG00000180817	56
ENSG00000138316	91
ENSG00000107731	100
ENSG00000197746	81
ENSG00000148719	117
ENSG00000107745	84
ENSG00000231471	66
ENSG00000166321	66
ENSG00000213551	64
ENSG00000182180	96
ENSG00000227540	92
ENSG00000172586	41
ENSG00000165637	55
ENSG00000236842	55
ENSG00000277981	43
ENSG00000151208	97
ENSG00000148606	83
ENSG00000165424	111
ENSG00000272631	80
ENSG00000107789	51
ENSG00000138182	114
ENSG00000148688	57
ENSG00000180628	97
ENSG00000138160	96
ENSG00000171311	96
ENSG00000166024	46
ENSG00000095485	106
ENSG00000166136	92
ENSG00000255339	79
ENSG00000166167	77
ENSG00000166171	96
ENSG00000107833	123
ENSG00000120029	85
ENSG00000166189	111
ENSG00000148840	92
ENSG00000166197	146
ENSG00000120055	137
ENSG00000138107	92
ENSG00000166275	101
ENSG00000270316	92
ENSG00000282772	107
ENSG00000148843	91
ENSG00000228417	45
ENSG00000119950	56
ENSG00000165832	110
ENSG00000107581	115
ENSG00000151923	127
ENSG00000188620	137
ENSG00000154473	45
ENSG00000230131	84
ENSG00000165660	81
ENSG00000249456	107
ENSG00000283095	129
ENSG00000185627	100
ENSG00000174885	96
ENSG00000185885	100
ENSG00000255328	82
ENSG00000174915	119
ENSG00000177156	76
ENSG00000177600	95
ENSG00000184281	90
ENSG00000110619	68
ENSG00000285644	35
ENSG00000223609	91
ENSG00000229093	100
ENSG00000254400	89
ENSG00000205339	98
ENSG00000268403	94
ENSG00000166478	91
ENSG00000250041	123
ENSG00000129083	55
ENSG00000256206	32
ENSG00000284094	114
ENSG00000110696	113
ENSG00000110700	75
ENSG00000254542	33
ENSG00000247151	93
ENSG00000110442	75
ENSG00000166352	56
ENSG00000283341	88
ENSG00000254639	69
ENSG00000149182	67
ENSG00000165916	70
ENSG00000198561	58
ENSG00000110031	116
ENSG00000186660	89
ENSG00000110107	62
ENSG00000257052	83
ENSG00000256944	87
ENSG00000110108	120
ENSG00000255931	83
ENSG00000284108	82
ENSG00000134825	91
ENSG00000168496	94
ENSG00000134824	118
ENSG00000285656	63
ENSG00000149489	6
ENSG00000206597	90
ENSG00000133316	62
ENSG00000222328	119
ENSG00000184743	67
ENSG00000173457	100
ENSG00000149782	132
ENSG00000168071	106
ENSG00000133895	75
ENSG00000171219	101
ENSG00000068971	100
ENSG00000204710	118
ENSG00000172977	70
ENSG00000172922	76
ENSG00000172757	115
ENSG00000175467	78
ENSG00000175376	54
ENSG00000087365	86
ENSG00000174903	120
ENSG00000174744	55
ENSG00000174547	28
ENSG00000175634	12
ENSG00000184224	31
ENSG00000167792	96
ENSG00000149716	81
