protein1	protein2	neighborhood	neighborhood_transferred	fusion	cooccurence	homology	coexpression	coexpression_transferred	experiments	experiments_transferred	database	database_transferred	textmining	textmining_transferred	combined_score	protein1_name	protein2_name
9606.ENSP00000000233	9606.ENSP00000379496	0	0	0	0	0	0	54	0	0	0	0	103	85	155	ARF5	PDE1C
9606.ENSP00000000233	9606.ENSP00000314067	0	0	0	0	0	0	0	0	180	0	0	0	61	197	ARF5	PAK2
9606.ENSP00000000233	9606.ENSP00000263116	0	0	0	0	0	0	62	0	152	0	0	0	101	222	ARF5	RAB36
9606.ENSP00000000233	9606.ENSP00000361263	0	0	0	0	0	0	0	0	161	0	0	47	58	181	ARF5	RAPGEF1
9606.ENSP00000000233	9606.ENSP00000409666	0	0	0	0	0	60	63	0	213	0	0	0	72	270	ARF5	SUMO3
9606.ENSP00000000233	9606.ENSP00000324287	0	0	0	0	0	49	0	0	147	0	0	723	86	767	ARF5	ACAP2
9606.ENSP00000000233	9606.ENSP00000469689	0	0	0	0	0	0	62	0	168	0	0	0	54	197	ARF5	SHANK2
9606.ENSP00000000233	9606.ENSP00000392206	0	0	0	0	0	0	53	0	147	0	0	242	85	364	ARF5	AGAP10
9606.ENSP00000000233	9606.ENSP00000333657	0	0	0	0	0	0	83	0	65	0	0	0	95	156	ARF5	MX2
9606.ENSP00000000233	9606.ENSP00000308413	0	0	0	0	0	0	0	0	150	0	0	0	55	162	ARF5	RPS6KB2
9606.ENSP00000000233	9606.ENSP00000215095	0	0	0	0	0	0	81	0	78	0	0	0	83	155	ARF5	STX1B
9606.ENSP00000000233	9606.ENSP00000267257	0	0	0	0	0	0	0	0	140	0	0	169	148	337	ARF5	PXN
9606.ENSP00000000233	9606.ENSP00000345405	0	0	0	0	0	0	0	0	153	0	0	0	47	158	ARF5	SPRED3
9606.ENSP00000000233	9606.ENSP00000444357	0	0	0	0	0	85	64	270	0	0	0	0	0	320	ARF5	OTUB1
9606.ENSP00000000233	9606.ENSP00000296127	0	0	0	0	0	0	52	0	78	0	0	0	208	247	ARF5	ZDHHC3
9606.ENSP00000000233	9606.ENSP00000007414	0	0	0	0	0	0	51	0	65	0	0	0	140	170	ARF5	OSBPL7
9606.ENSP00000000233	9606.ENSP00000353864	0	0	0	0	0	0	0	0	180	0	0	0	61	197	ARF5	PAK3
9606.ENSP00000000233	9606.ENSP00000346733	0	0	0	0	0	0	0	0	147	0	0	0	86	187	ARF5	ACAP3
9606.ENSP00000000233	9606.ENSP00000308897	0	0	0	0	0	0	0	0	167	0	0	0	0	167	ARF5	MRPL11
9606.ENSP00000000233	9606.ENSP00000349291	0	0	0	0	0	0	49	0	150	0	0	0	85	195	ARF5	TBC1D9B
9606.ENSP00000000233	9606.ENSP00000253401	0	0	0	0	0	0	0	0	167	0	0	0	59	182	ARF5	ARHGEF9
9606.ENSP00000000233	9606.ENSP00000360141	0	0	0	0	0	0	0	0	167	0	0	0	53	177	ARF5	GNAS
9606.ENSP00000000233	9606.ENSP00000312150	0	0	0	0	0	0	65	0	127	0	0	0	50	156	ARF5	TRIB1
